2008, 'SOUTHERN OREGON COASTAL'
2008, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY to Date', 'Pct Avg to Date', 'Pct Tot WY'
2008, 'ASHO3', 'ASHLAND', '   4.00', '   2.33', '   2.46', '   3.86', '   1.16', '   2.42', '   1.38', '   2.17', '   0.45', '   0.00', '   0.71', '   0.00', ' 20.94', ' 106', ' 106'
2008, 'CVJO3', 'CAVE JUNCTION', '   6.34', '   4.33', '  10.01', '  12.43', '   2.75', '   4.95', '   2.48', '   0.96', '   0.09', '   0.00', '   0.00', '   0.00', ' 44.34', '  71', '  71'
2008, 'GOLO3', 'GOLD BEACH', '   8.02', '  11.30', '  16.81', '  15.87', '   5.41', '   7.37', '   4.81', '   0.56', '   1.18', '   0.00', '   1.43', '   0.12', ' 72.88', '  92', '  92'
2008, 'GPSO3', 'GRANTS PASS KAJO', '   4.10', '   2.97', '   6.33', '   6.41', '   1.43', '   2.96', '   1.10', '   1.44', '   0.27', '   0.00', '   0.03', '   0.00', ' 27.04', '  87', '  87'
2008, 'GSPO3', 'GREEN SPRINGS PP', '   4.31', '   2.24', '   4.12', '   4.35', '   1.86', '   2.65', '   1.96', '   1.75', '   0.25', '   0.00', '   0.00', '   0.00', ' 23.49', ' 102', ' 102'
2008, 'LEMO3', 'LEMOLO LAKE', '   9.08', '  10.64', '  12.14', '  15.27', '   5.99', '  11.82', '   4.38', '   2.75', '   1.95', '   0.04', '   0.69', '   0.07', ' 74.82', ' 114', ' 114'
2008, 'MFR', 'MEDFORD', '   2.06', '   2.81', '   2.78', '   3.77', '   0.54', '   1.85', '   0.69', '   1.20', '   0.09', '   0.00', '   0.04', '   0.01', ' 15.84', '  86', '  86'
2008, 'OTH', 'NORTH BEND', '   5.04', '   7.07', '  12.37', '  13.83', '   4.47', '   5.97', '   6.00', '   0.48', '   1.29', '   0.07', '   1.12', '   0.13', ' 57.84', '  90', '  90'
2008, 'PRSO3', 'PROSPECT 2SW', '   5.94', '   5.43', '   6.94', '   8.84', '   3.41', '   4.97', '   2.52', '   2.80', '   0.83', '   0.00', '   0.20', '   0.00', ' 41.88', '  99', '  99'
2008, 'RIDO3', 'RIDDLE', '   2.86', '   4.33', '   6.42', '   6.56', '   1.73', '   2.95', '   0.97', '   1.62', '   0.26', '   0.00', '   0.13', '   0.02', ' 27.85', '  88', '  88'
2008, 'ROGO3', 'ROSEBURG', '   3.40', '   4.33', '   7.09', '   8.52', '   2.39', '   4.54', '   1.81', '   1.42', '   0.30', '   0.00', '   0.13', '   0.00', ' 33.93', ' 101', ' 101'
