name,class,connector,NUMBER_OF_CELLS,CAPACITY,CHORD_1,WIDTH,COST,LENGTH,CHEMISTRY_TYPE,PEAK_DISCHARGE_RATE,SPAN,PACK_RESISTANCE,MODEL,TAPER_OFFSET,MOUNT_SIDE,CHORD_2,CONT_DISCHARGE_RATE,CORPUS,VOLUME_PERCENT,MODULE_VOLUME,VOLTAGE_REQUEST,VOLTAGE,WEIGHT,BASE_VOLTAGE,ROTATION,DISCHARGE_PLUG,BATTERY_TYPE,THICKNESS,MODULE_MASS
Avionic20AhLi_cyl,Battery,"['Battery_Connector_1_out', 'Battery_Connector_2', 'PowerBus']",None,20.0,"('200', '1', None, '1000')",None,None,None,None,50.0,"('2500', '1', None, '1000')",None,None,"('0', '0', '1', '0')","('1', '1', '2', '1')","('1', '1', None, '1000')",30.0,UAM,"('100', '1', '100', '100')",11300222.044672,"('400', '1', None, '110')",None,None,28.0,None,None,Cylinder,"('200', '6', None, '40')",11.43
Eagle19AhAg_cyl,Battery,"['Battery_Connector_1_out', 'Battery_Connector_2', 'PowerBus']",None,19.0,"('200', '1', None, '1000')",None,None,None,None,3.0,"('2500', '1', None, '1000')",None,None,"('0', '0', '1', '0')","('1', '1', '2', '1')","('1', '1', None, '1000')",1.58,UAM,"('100', '1', '100', '100')",4817796.816000001,"('400', '1', None, '110')",None,None,28.0,None,None,Cylinder,"('200', '6', None, '40')",9.3
Eagle19AhAg,Battery,"['Battery_Connector_1_out', 'Battery_Connector_2_out', 'PowerBus']",None,19.0,"('1000', '1', None, '1000')",None,None,None,None,3.0,"('10000', '1', None, '1000')",None,None,"('0', '0', '1', '0')","('1', '1', '2', '1')","('1000', '1', None, '1000')",1.58,UAM,"('100', '1', '100', '100')",4817796.816000001,"('800', '1', None, '110')",None,None,28.0,None,None,Wing,"('200', '6', None, '40')",9.3
Eagle50AhAg,Battery,"['Battery_Connector_1_out', 'Battery_Connector_2_out', 'PowerBus']",None,50.0,"('1000', '1', None, '1000')",None,None,None,None,1.0,"('10000', '1', None, '1000')",None,None,"('0', '0', '1', '0')","('1', '1', '2', '1')","('1000', '1', None, '1000')",0.54,UAM,"('100', '1', '100', '100')",13747102.3,"('800', '1', None, '110')",None,None,33.0,None,None,Wing,"('200', '6', None, '40')",24.5
GS50AhLi_beam,Battery,"['Battery_Connector_1', 'Battery_Connector_2', 'PowerBus']",None,50.0,"('1000', '1', None, '1000')",None,None,None,None,6.0,"('10000', '1', None, '1000')",None,None,"('0', '0', '1', '0')","('1', '1', '2', '1')","('1', '1', None, '1000')",1.0,UAM,"('100', '1', '100', '100')",17295744.0,"('800', '1', None, '110')",None,None,44.4,None,None,Beam,"('200', '6', None, '40')",27.0
GS25AhLi,Battery,"['Battery_Connector_1_out', 'Battery_Connector_2_out', 'PowerBus']",None,25.0,"('1000', '1', None, '1000')",None,None,None,None,48.0,"('10000', '1', None, '1000')",None,None,"('0', '0', '1', '0')","('1', '1', '2', '1')","('1000', '1', None, '1000')",24.0,UAM,"('100', '1', '100', '100')",17295744.0,"('800', '1', None, '110')",None,None,44.4,None,None,Wing,"('200', '6', None, '40')",27.0
Saft72AhLi_cyl,Battery,"['Battery_Connector_1_out', 'Battery_Connector_2', 'PowerBus']",None,72.0,"('200', '1', None, '1000')",None,None,None,None,2.0,"('2500', '1', None, '1000')",None,None,"('0', '0', '1', '0')","('1', '1', '2', '1')","('1', '1', None, '1000')",1.0,UAM,"('100', '1', '100', '100')",29695600.0,"('400', '1', None, '110')",None,None,40.7,None,None,Cylinder,"('200', '6', None, '40')",28.8
Tattu22AhLi_beam,Battery,"['Battery_Connector_1', 'Battery_Connector_2', 'PowerBus']",None,22.0,"('1000', '1', None, '1000')",None,None,None,None,50.0,"('10000', '1', None, '1000')",None,None,"('0', '0', '1', '0')","('1', '1', '2', '1')","('1', '1', None, '1000')",25.0,UAM,"('100', '1', '100', '100')",5991804.0,"('800', '1', None, '110')",None,None,51.8,None,None,Beam,"('200', '6', None, '40')",8.74
Tattu25C8000mAh6S1P,Battery,"['Bottom_Connector', 'PowerBus', 'Top_Connector']",6S1P,8000,None,65,157.0,168.0,LiPo,50,None,12,Tattu25C8000mAh6S1P,None,None,None,25,UAV,None,None,None,22.2,1.16,None,"('0', '0', '360', '0')",XT60,UAV,51.0,None
Tattu25C10000mAh4S1P,Battery,"['Bottom_Connector', 'PowerBus', 'Top_Connector']",4S1P,10000,None,65,149.99,169.0,LiPo,50,None,12,Tattu25C10000mAh4S1P,None,None,None,25,UAV,None,None,None,14.8,0.94,None,"('0', '0', '360', '0')",XT150,UAV,39.0,None
Tattu30C10000mAh6S1P,Battery,"['Bottom_Connector', 'PowerBus', 'Top_Connector']",6S1P,10000,None,65,210.0,175.0,LiPo,60,None,12,Tattu30C10000mAh6S1P,None,None,None,30,UAV,None,None,None,22.2,1.357,None,"('0', '0', '360', '0')",XT90,UAV,58.0,None
TattuPlus25C22000mAh12S1P,Battery,"['Bottom_Connector', 'PowerBus', 'Top_Connector']",12S1P,22000,None,116,843.99,235.5,LiPo,50,None,12,TattuPlus25C22000mAh12S1P,None,None,None,25,UAV,None,None,None,44.4,6.0,None,"('0', '0', '360', '0')",XT150,UAV,172.0,None
Tattu25AhLi,Battery,"['Battery_Connector_1_out', 'Battery_Connector_2_out', 'PowerBus']",None,25.0,"('1000', '1', None, '1000')",None,None,None,None,50.0,"('10000', '1', None, '1000')",None,None,"('0', '0', '1', '0')","('1', '1', '2', '1')","('1000', '1', None, '1000')",25.0,UAM,"('100', '1', '100', '100')",5991804.0,"('800', '1', None, '110')",None,None,51.8,None,None,Wing,"('200', '6', None, '40')",9.54
TurnigyGraphene1500mAh3S75C,Battery,"['Bottom_Connector', 'PowerBus', 'Top_Connector']",3S1P,1400,None,35,24.0,90.0,LiPo,150,None,13,TurnigyGraphene1500mAh3S75C,None,None,None,75,UAV,None,None,None,11.1,0.156,None,"('0', '0', '360', '0')",XT60,UAV,25.0,None
Tattu5C20000mAh6S1P,Battery,"['Bottom_Connector', 'PowerBus', 'Top_Connector']",6S1P,20000,None,76,400.0,189.0,LiIon,10,None,12,Tattu5C20000mAh6S1P,None,None,None,5,UAV,None,None,None,22.2,1.8,None,"('0', '0', '360', '0')",XT90,UAV,58.0,None
Tattu25C22000mAh14S1P,Battery,"['Bottom_Connector', 'PowerBus', 'Top_Connector']",14S1P,22000,None,236,1185.79,279.0,LiPo,50,None,12,Tattu25C22000mAh14S1P,None,None,None,25,UAV,None,None,None,51.8,8.74,None,"('0', '0', '360', '0')",Molex,UAV,91.0,None
Tattu25C25000mAh14S1P,Battery,"['Bottom_Connector', 'PowerBus', 'Top_Connector']",14S1P,25000,None,236,1347.49,279.0,LiPo,50,None,12,Tattu25C25000mAh14S1P,None,None,None,25,UAV,None,None,None,51.8,9.54,None,"('0', '0', '360', '0')",Molex,UAV,91.0,None
