name,class,connector,SHAFT_DIAMETER,CORPUS,PITCH,Performance_File,MODEL,Direction,WEIGHT,HUB_THICKNESS,DIAMETER,Prop_type
apc_propellers_22x8,Propeller,['MOTOR_CONNECTOR_CS_IN'],7.9375,UAV,203.2,PER3_22x8.dat,apc_propellers_22x8,"('1', '-1', '1', '1')",0.240130546,18.034,558.8,"('1', '-1', '1', '1')"
apc_propellers_5x5E,Propeller,['MOTOR_CONNECTOR_CS_IN'],6.35,UAV,127.0,PER3_5x5E.dat,apc_propellers_5x5E,"('1', '-1', '1', '1')",0.0039915919999999995,6.35,127.0,"('1', '-1', '1', '1')"
apc_propellers_4_5x4,Propeller,['MOTOR_CONNECTOR_CS_IN'],6.35,UAV,101.6,PER3_45x4.dat,apc_propellers_4_5x4,"('1', '-1', '1', '1')",0.0039915919999999995,7.619999999999999,114.3,"('1', '-1', '1', '1')"
apc_propellers_5_25x6_25E,Propeller,['MOTOR_CONNECTOR_CS_IN'],6.35,UAV,158.75,PER3_525x625E.dat,apc_propellers_5_25x6_25E,"('1', '-1', '1', '1')",0.0039915919999999995,7.619999999999999,133.35,"('1', '-1', '1', '1')"
apc_propellers_5_5x2_5,Propeller,['MOTOR_CONNECTOR_CS_IN'],4.762499999999999,UAV,63.5,PER3_55x25.dat,apc_propellers_5_5x2_5,"('1', '-1', '1', '1')",0.0070760039999999995,7.874,139.7,"('1', '-1', '1', '1')"
apc_propellers_5x7_5E,Propeller,['MOTOR_CONNECTOR_CS_IN'],4.999989999999999,UAV,190.5,PER3_5x75E.dat,apc_propellers_5x7_5E,"('1', '-1', '1', '1')",0.004989489999999999,7.112,127.0,"('1', '-1', '1', '1')"
apc_propellers_6_5x5_0,Propeller,['MOTOR_CONNECTOR_CS_IN'],4.762499999999999,UAV,127.0,PER3_65x50.dat,apc_propellers_6_5x5_0,"('1', '-1', '1', '1')",0.011067596,10.16,165.1,"('1', '-1', '1', '1')"
apc_propellers_6x6E,Propeller,['MOTOR_CONNECTOR_CS_IN'],6.35,UAV,152.4,PER3_6x6E.dat,apc_propellers_6x6E,"('1', '-1', '1', '1')",0.005125566999999999,6.604,152.4,"('1', '-1', '1', '1')"
apc_propellers_6_3x4,Propeller,['MOTOR_CONNECTOR_CS_IN'],4.762499999999999,UAV,101.6,PER3_63x4.dat,apc_propellers_6_3x4,"('1', '-1', '1', '1')",0.011067596,10.16,160.02,"('1', '-1', '1', '1')"
apc_propellers_7x4_1SF,Propeller,['MOTOR_CONNECTOR_CS_IN'],5.499989,UAV,104.14,PER3_7x41SF.dat,apc_propellers_7x4_1SF,"('1', '-1', '1', '1')",0.003492643,4.064,177.8,"('1', '-1', '1', '1')"
