name,class,connector,Current_No_Load,LENC,Deadband_Width,Output_Shaft_Spline,Current_Idle,Max_Stall_Torque,LENA,Max_Voltage,Max_Rotation,Max_No_Load_Speed,LENF,Wire_Gauge,CORPUS,Servo_Thickness,Travel,Stall_Current,Max_PWM_Range,Min_No_Load_Speed,WEIGHT,Min_Voltage,Min_Stall_Torque,LENB,Servo_Class,LENE
Hitec_HS_5087MH,Servo,['Connector'],200.0,30.3,2.0,C24T,3,4.3,33.8,7.4,80.0,0.17,19.3,28.0,UAV,12.5,0.089,1750.0,750-2250,0.13,0.0219,6.0,3.6,28.5,Micro,39.5
Hitec_HS_53,Servo,['Connector'],125.0,23.3,5.0,A15T,10,1.91,25.7,6.0,94.0,0.14,15.2,28.0,UAV,10.2,0.105,550.0,553-2270,0.11,0.008,4.8,1.51,22.8,Sub-Micro,32.8
Hitec_HS_85BB,Servo,['Connector'],280.0,30.4,8.0,C24T,8,3.5,34.2,6.0,93.0,0.16,19.0,28.0,UAV,12.0,0.104,1200.0,553-2300,0.14,0.0192,4.8,3.0,29.1,Micro,40.0
Hitec_HS_5070MH,Servo,['Connector'],240.0,30.0,2.0,B25T,3,3.8,33.3,7.4,74.0,0.14,21.0,28.0,UAV,11.6,0.083,1300.0,750-2250,0.12,0.0125,6.0,3.1,23.7,Micro,32.3
Hitec_HS_85MG,Servo,['Connector'],240.0,29.9,8.0,C24T,8,3.5,30.6,6.0,93.0,0.16,18.5,28.0,UAV,13.0,0.104,1200.0,553-2300,0.14,0.0221,4.8,3.0,29.1,Micro,40.0
Hitec_D954SW,Servo,['Connector'],500.0,38.0,1.0,H25T,30,29.16,45.4,7.4,89.0,0.19,27.0,20.0,UAV,20.0,0.099,5200.0,850-2350,0.12,0.068,4.8,18.07,40.0,Standard,54.0
Hitec_HS_5055MG,Servo,['Connector'],120.0,24.0,6.0,A15T,8,1.6,27.8,6.0,75.0,0.2,16.7,28.0,UAV,11.6,0.119,700.0,750-2250,0.17,0.0095,4.8,1.3,22.8,Sub-Micro,30.0
Hitec_D485HW,Servo,['Connector'],320.0,40.0,1.0,H25T,30,7.41,44.0,7.4,88.0,0.2,28.0,22.0,UAV,20.0,0.098,1500.0,850-2350,0.15,0.045,4.8,4.82,40.0,Standard,53.5
Hitec_HS_225BB,Servo,['Connector'],300.0,33.0,8.0,C24T,8,4.8,36.3,6.0,87.0,0.14,23.5,25.0,UAV,16.8,0.097,1200.0,553-2520,0.11,0.027,4.8,3.9,32.3,Mini,44.3
Hitec_HS_70MG,Servo,['Connector'],160.0,30.3,5.0,B25T,8,3.0,33.6,6.0,101.0,0.17,21.3,28.0,UAV,11.4,0.113,1250.0,650-2370,0.14,0.0125,4.8,2.4,23.5,Micro,32.5
Hitec_HS_7245MH,Servo,['Connector'],190.0,57.6,2.0,C24T,12,6.4,70.0,7.4,72.0,0.13,42.4,22.0,UAV,30.0,0.081,1600.0,750-2250,0.11,0.034,6.0,5.2,66.0,Mini,63.0
Hitec_D89MW,Servo,['Connector'],300.0,30.8,2.0,H25T,30,8.5,35.3,7.4,85.0,0.17,19.8,28.0,UAV,13.0,0.095,2900.0,850-2350,0.11,0.024,4.8,5.3,29.0,Micro,40.2
Hitec_HS_55,Servo,['Connector'],150.0,24.5,8.0,A15T,5.5,1.5,27.0,6.0,102.0,0.18,16.6,28.0,UAV,11.5,0.144,450.0,615-2390,0.14,0.008,4.8,1.2,22.6,Sub-Micro,32.6
Hitec_HS_65MG,Servo,['Connector'],220.0,25.6,5.0,B25T,8,2.2,33.0,6.0,97.0,0.14,16.9,28.0,UAV,11.7,0.108,1200.0,610-2360,0.11,0.0119,4.8,1.8,23.7,Sub-Micro,30.5
Hitec_HS_65HB,Servo,['Connector'],220.0,25.6,4.0,B25T,7.7,2.2,33.0,6.0,97.0,0.14,16.9,28.0,UAV,11.7,0.108,1200.0,610-2360,0.11,0.0112,4.8,1.8,23.7,Sub-Micro,30.5
Hitec_HS_625MG,Servo,['Connector'],500.0,39.0,8.0,C24T,9.1,6.8,42.3,6.0,90.0,0.18,26.7,22.0,UAV,19.8,0.1,2500.0,553-2520,0.15,0.055200000000000006,4.8,5.5,40.2,Standard,53.4
Hitec_HS_5496MH,Servo,['Connector'],190.0,39.7,4.0,C24T,12,7.5,43.0,7.4,70.0,0.17,27.7,25.0,UAV,19.8,0.078,1400.0,750-2250,0.15,0.052,6.0,6.4,40.2,Standard,53.0
Hitec_HS_225MG,Servo,['Connector'],300.0,33.0,8.0,C24T,8,4.8,36.4,6.0,87.0,0.14,23.5,25.0,UAV,16.8,0.097,1200.0,553-2520,0.11,0.031,4.8,3.9,32.3,Mini,44.3
Hitec_HS_81,Servo,['Connector'],280.0,29.6,8.0,C24T,8.8,3.0,34.6,6.0,91.0,0.11,19.9,28.0,UAV,12.0,0.102,1500.0,640-2250,0.09,0.0166,4.8,2.6,29.8,Micro,36.4
Hitec_HS_45HB,Servo,['Connector'],100.0,23.9,5.0,A15T,8,1.2,26.3,6.0,106.0,0.14,15.4,28.0,UAV,9.9,0.118,440.0,790-2405,0.12,0.008,4.8,1.0,23.7,Sub-Micro,33.6
Hitec_HS_5245MG,Servo,['Connector'],300.0,30.8,4.0,C24T,3,5.5,38.1,6.0,71.0,0.15,23.8,25.0,UAV,16.8,0.79,1200.0,750-2250,0.12,0.032,4.8,4.4,32.4,Mini,44.0
Hitec_HS_5065MG,Servo,['Connector'],220.0,26.0,2.0,B25T,3,2.2,29.3,6.0,76.0,0.14,17.0,28.0,UAV,11.6,0.085,1200.0,750-2250,0.11,0.0119,4.8,1.8,23.7,Sub-Micro,32.3
Hitec_HS_40,Servo,['Connector'],60.0,20.3,5.0,A15T,8,0.75,23.1,6.0,93.0,0.12,12.0,28.0,UAV,8.7,0.104,460.0,615-2495,0.1,0.0048,4.8,0.6,20.0,Nano,28.0
Hitec_HS_645MG,Servo,['Connector'],450.0,39.0,8.0,C24T,9.1,9.6,42.3,6.0,90.0,0.24,26.7,22.0,UAV,19.8,0.1,2500.0,553-2520,0.2,0.055200000000000006,4.8,7.7,40.2,Standard,53.4
Hitec_HS_7235MH,Servo,['Connector'],190.0,35.3,2.0,C24T,12,4.4,38.6,7.4,72.0,0.09,23.8,22.0,UAV,16.8,0.81,1600.0,750-2250,0.08,0.034,6.0,3.6,32.0,Mini,44.0
Hitec_HS_82MG,Servo,['Connector'],280.0,30.0,5.0,C24T,10,3.4,33.0,6.0,92.0,0.12,20.0,28.0,UAV,12.0,0.103,1800.0,600-2200,0.1,0.019,4.8,2.8,30.0,Micro,41.0
Hitec_HS_5565MH,Servo,['Connector'],300.0,39.7,2.0,C24T,4,14.0,43.0,7.4,71.0,0.11,27.7,22.0,UAV,19.8,0.079,2700.0,750-2250,0.09,0.06,6.0,11.0,40.2,Standard,53.0
