FROM_COMP,LIB_COMPONENT
front_prop_l,apc_propellers_7x5E
front_rail_l,0394OD_para_tube
Orient,Orient
left_rudder,Wing_vert_hole
front_wing_tube_r,0394OD_para_tube
rear_rail_r,0394OD_para_tube
rear_left_wing,Wing_vert_hole
rear_rail_l,0394OD_para_tube
front_flange_l,0394_para_flange
front_flange_r,0394_para_flange
vertical_l,0394OD_para_tube
front_prop_r,apc_propellers_7x5E
top_leg_r,0394OD_para_tube
rear_hub_r,0394od_para_hub_3
right_rudder,Wing_vert_hole
side_hub_l,0394od_para_hub_3
front_right_wing,Wing_vert_hole
rear_flange_l,0394_para_flange
BatteryController,BatteryController
mid_tube_r,0394OD_para_tube
front_motor_l,kde_direct_KDE2315XF_885
rear_prop_l,apc_propellers_7x5E
vertical_r,0394OD_para_tube
rear_prop_r,apc_propellers_7x5E
rudder_tube_r,0394OD_para_tube
front_wing_tube_l,0394OD_para_tube
capsule_fuselage,capsule_fuselage
main_hub,0394od_para_hub_3
mid_tube_l,0394OD_para_tube
bottom_leg_l,0394OD_para_tube
top_leg_l,0394OD_para_tube
front_motor_r,kde_direct_KDE2315XF_885
rear_motor_r,kde_direct_KDE2315XF_885
bottom_leg_r,0394OD_para_tube
rear_right_wing,Wing_vert_hole
side_hub_r,0394od_para_hub_3
rear_hub_l,0394od_para_hub_3
rear_flange_r,0394_para_flange
front_rail_r,0394OD_para_tube
rudder_tube_l,0394OD_para_tube
rear_motor_l,kde_direct_KDE2315XF_885
Main_Battery,TurnigyGraphene6000mAh6S75C
front_left_wing,Wing_vert_hole
