FROM_COMP,FROM_CONN,TO_COMP,TO_CONN
front_prop_l,MOTOR_CONNECTOR_CS_IN,front_motor_l,Prop_Connector
front_rail_l,BaseConnection,side_hub_l,Side_Connector_3
front_rail_l,EndConnection,front_flange_l,BottomConnector
Orient,ORIENTCONN,main_hub,Orient_Connector
left_rudder,Wing_Tube_Connector,rudder_tube_l,EndConnection
front_wing_tube_r,BaseConnection,front_flange_r,SideConnector
front_wing_tube_r,EndConnection,front_right_wing,Wing_Tube_Connector
rear_rail_r,BaseConnection,side_hub_r,Side_Connector_1
rear_rail_r,EndConnection,rear_hub_r,Side_Connector_3
rear_left_wing,Wing_Tube_Connector,vertical_l,OffsetConnection1
rear_rail_l,EndConnection,rear_hub_l,Side_Connector_1
rear_rail_l,BaseConnection,side_hub_l,Side_Connector_1
front_flange_l,SideConnector,front_wing_tube_l,BaseConnection
front_flange_l,BottomConnector,front_rail_l,EndConnection
front_flange_l,TopConnector,front_motor_l,Base_Connector
front_flange_r,BottomConnector,front_rail_r,EndConnection
front_flange_r,SideConnector,front_wing_tube_r,BaseConnection
front_flange_r,TopConnector,front_motor_r,Base_Connector
vertical_l,OffsetConnection1,rear_left_wing,Wing_Tube_Connector
vertical_l,EndConnection,rear_flange_l,SideConnector
vertical_l,BaseConnection,rear_hub_l,Side_Connector_2
front_prop_r,MOTOR_CONNECTOR_CS_IN,front_motor_r,Prop_Connector
top_leg_r,BaseConnection,rear_flange_r,BottomConnector
rear_hub_r,Center_Connector,rudder_tube_r,BaseConnection
rear_hub_r,Side_Connector_3,rear_rail_r,EndConnection
rear_hub_r,Side_Connector_2,vertical_r,BaseConnection
rear_hub_r,Side_Connector_1,bottom_leg_r,BaseConnection
right_rudder,Wing_Tube_Connector,rudder_tube_r,EndConnection
side_hub_l,Side_Connector_3,front_rail_l,BaseConnection
side_hub_l,Side_Connector_1,rear_rail_l,BaseConnection
side_hub_l,Side_Connector_2,mid_tube_l,EndConnection
