FROM_COMP,LIB_COMPONENT
main_hub,0394od_para_hub_3
Cargo,Cargo
rear_hub_r,0394od_para_hub_3
mid_tube_r,0394OD_para_tube
right_rudder,Wing_vert_hole
top_leg_r,0394OD_para_tube
Battery_1,TurnigyGraphene6000mAh6S75C
side_hub_r,0394od_para_hub_3
side_hub_l,0394od_para_hub_3
capsule_fuselage,capsule_fuselage
front_prop_l,apc_propellers_7x5E
rear_motor_r,kde_direct_KDE2315XF_885
rear_rail_r,0394OD_para_tube
front_rail_l,0394OD_para_tube
front_flange_l,0394_para_flange
Orient,Orient
front_wing_tube_l,0394OD_para_tube
vertical_r,0394OD_para_tube
Voltage,Voltage
vertical_l,0394OD_para_tube
rear_flange_l,0394_para_flange
rudder_tube_r,0394OD_para_tube
rear_flange_r,0394_para_flange
front_left_wing,Wing_vert_hole
rear_rail_l,0394OD_para_tube
GPS,GPS
rear_left_wing,Wing_vert_hole
top_leg_l,0394OD_para_tube
Variometer,Variometer
Autopilot,Autopilot
front_motor_r,kde_direct_KDE2315XF_885
RpmTemp,RpmTemp
bottom_leg_l,0394OD_para_tube
rear_prop_l,apc_propellers_7x5E
BatteryController,BatteryController
front_wing_tube_r,0394OD_para_tube
bottom_leg_r,0394OD_para_tube
rear_prop_r,apc_propellers_7x5E
front_rail_r,0394OD_para_tube
rudder_tube_l,0394OD_para_tube
front_prop_r,apc_propellers_7x5E
mid_tube_l,0394OD_para_tube
left_rudder,Wing_vert_hole
front_right_wing,Wing_vert_hole
front_flange_r,0394_para_flange
rear_hub_l,0394od_para_hub_3
CargoCase,CargoCase
Current,Current
front_motor_l,kde_direct_KDE2315XF_885
rear_right_wing,Wing_vert_hole
rear_motor_l,kde_direct_KDE2315XF_885
Battery_2,TurnigyGraphene6000mAh6S75C
