DESIGN_PARAM,DESIGN_PARAM_VAL,COMPONENT_NAME,COMPONENT_PARAM
rudder_chord,100,right_rudder,CHORD_2
rudder_chord,100,left_rudder,CHORD_2
rudder_chord,100,right_rudder,CHORD_1
rudder_chord,100,left_rudder,CHORD_1
Offset_5,-80,capsule_fuselage,FLOOR_CONNECTOR_7_DISP_LENGTH
Channel_7,7,rear_right_wing,CONTROL_CHANNEL
Offset_9,-11,capsule_fuselage,FLOOR_CONNECTOR_8_DISP_WIDTH
Channel_4,4,rear_motor_r,CONTROL_CHANNEL
fuse_height,105,capsule_fuselage,VERT_DIAMETER
NACA_profile,0012,rear_left_wing,NACA_Profile
NACA_profile,0012,right_rudder,NACA_Profile
NACA_profile,0012,front_left_wing,NACA_Profile
NACA_profile,0012,left_rudder,NACA_Profile
NACA_profile,0012,rear_right_wing,NACA_Profile
NACA_profile,0012,front_right_wing,NACA_Profile
Offset_8,11,capsule_fuselage,FLOOR_CONNECTOR_6_DISP_WIDTH
Rear_Rail_Length,220,rear_rail_l,Length
Rear_Rail_Length,220,rear_rail_r,Length
Channel_8,8,rear_left_wing,CONTROL_CHANNEL
wing_thickness,12,right_rudder,THICKNESS
wing_thickness,12,rear_left_wing,THICKNESS
wing_thickness,12,rear_right_wing,THICKNESS
wing_thickness,12,front_left_wing,THICKNESS
wing_thickness,12,left_rudder,THICKNESS
wing_thickness,12,front_right_wing,THICKNESS
FwdFacingCCW_PropType,-1,front_prop_l,Prop_type
FwdFacingCCW_PropType,-1,rear_prop_l,Prop_type
r_rudder_offset,50,right_rudder,TUBE_OFFSET
Rudder_Tube_Length,41,rudder_tube_r,Length
Rudder_Tube_Length,41,rudder_tube_l,Length
Offset_1,-20,capsule_fuselage,FLOOR_CONNECTOR_4_DISP_LENGTH
Offset_1,-20,capsule_fuselage,FLOOR_CONNECTOR_6_DISP_LENGTH
Offset_1,-20,capsule_fuselage,FLOOR_CONNECTOR_8_DISP_LENGTH
Offset_1,-20,capsule_fuselage,FLOOR_CONNECTOR_3_DISP_LENGTH
Offset_2,50,capsule_fuselage,FLOOR_CONNECTOR_5_DISP_LENGTH
Param_14,448.68,rear_left_wing,TUBE_OFFSET
Param_12,90,rear_right_wing,TUBE_ROTATION
Param_12,90,rear_hub_l,ANGHORZCONN
Param_12,90,main_hub,ANGHORZCONN
Param_12,90,rear_hub_r,ANGHORZCONN
Param_12,90,side_hub_r,ANGHORZCONN
Param_12,90,side_hub_l,ANGHORZCONN
BodyRotAngle,90,capsule_fuselage,BOTTOM_CONNECTOR_ROTATION
BodyRotAngle,90,rear_rail_l,END_ROT
BodyRotAngle,90,rear_rail_r,END_ROT
BodyRotAngle,90,front_rail_r,END_ROT
BodyRotAngle,90,vertical_l,END_ROT
BodyRotAngle,90,front_flange_r,BOTTOM_ANGLE
Offset_3,33,capsule_fuselage,FLOOR_CONNECTOR_3_DISP_WIDTH
Offset_4,-30,capsule_fuselage,FLOOR_CONNECTOR_4_DISP_WIDTH
Offset_7,-70,capsule_fuselage,FLOOR_CONNECTOR_2_DISP_WIDTH
Channel_3,3,rear_motor_l,CONTROL_CHANNEL
front_r_wing_offset,160.32,rear_right_wing,TUBE_OFFSET
front_r_wing_offset,160.32,front_right_wing,TUBE_OFFSET
angle_270,270,front_rail_l,END_ROT
angle_270,270,vertical_r,END_ROT
angle_270,270,rear_left_wing,TUBE_ROTATION
rear_wing_offset,90,vertical_r,Offset1
rear_wing_offset,90,vertical_l,Offset1
CargoMass,0.5,Cargo,WEIGHT
Param_11,180,front_left_wing,TUBE_ROTATION
Param_11,180,mid_tube_l,END_ROT
Param_11,180,front_right_wing,TUBE_ROTATION
Param_11,180,left_rudder,TUBE_ROTATION
fuse_floor,20,capsule_fuselage,FLOOR_HEIGHT
front_wing_span,450,front_left_wing,SPAN
front_wing_span,450,front_right_wing,SPAN
l_rudder_offset,90,left_rudder,TUBE_OFFSET
l_rudder_offset,90,Orient,Z_ANGLE
Front_Rail_Length,335,front_rail_l,Length
Front_Rail_Length,335,front_rail_r,Length
Channel_1,1,front_motor_l,CONTROL_CHANNEL
front_wing_chord,150,front_right_wing,CHORD_2
front_wing_chord,150,front_left_wing,CHORD_2
front_wing_chord,150,front_right_wing,CHORD_1
front_wing_chord,150,front_left_wing,CHORD_1
fuse_width,300,capsule_fuselage,HORZ_DIAMETER
rudder_span,140,right_rudder,SPAN
rudder_span,140,left_rudder,SPAN
Channel_5,5,front_left_wing,CONTROL_CHANNEL
FwdFacingCW_PropType,1,front_prop_r,Prop_type
FwdFacingCW_PropType,1,rear_prop_r,Prop_type
Channel_10,10,left_rudder,CONTROL_CHANNEL
Vertical_Tube_Length,150,bottom_leg_l,Length
Vertical_Tube_Length,150,vertical_r,Length
Vertical_Tube_Length,150,capsule_fuselage,FUSE_CYL_LENGTH
Vertical_Tube_Length,150,bottom_leg_r,Length
Vertical_Tube_Length,150,vertical_l,Length
Offset_6,70,capsule_fuselage,FLOOR_CONNECTOR_1_DISP_WIDTH
FwdFacingCW_Spin,1,rear_prop_r,Direction
FwdFacingCW_Spin,1,front_prop_r,Direction
Top_Leg_Tube_Length,150.1524,top_leg_r,Length
Top_Leg_Tube_Length,150.1524,top_leg_l,Length
FwdFacingCCW_Spin,-1,rear_prop_l,Direction
FwdFacingCCW_Spin,-1,front_prop_l,Direction
rear_wing_span,609,rear_right_wing,SPAN
rear_wing_span,609,rear_left_wing,SPAN
Front_Wing_Tube_Length,52,front_wing_tube_r,Length
Front_Wing_Tube_Length,52,front_wing_tube_l,Length
Channel_6,6,front_right_wing,CONTROL_CHANNEL
Channel_9,9,right_rudder,CONTROL_CHANNEL
Mid_Tube_Length,140,mid_tube_r,Length
Mid_Tube_Length,140,mid_tube_l,Length
rear_wing_chord,180,rear_left_wing,CHORD_2
rear_wing_chord,180,rear_left_wing,CHORD_1
rear_wing_chord,180,rear_right_wing,CHORD_2
rear_wing_chord,180,rear_right_wing,CHORD_1
front_l_wing_offset,289.68,front_left_wing,TUBE_OFFSET
