FROM_COMP,FROM_CONN,TO_COMP,TO_CONN
CargoCase,CargoConnector,Cargo,CargoConnector
CargoCase,Case2HubConnector,main_hub,Bottom_Connector
side_hub_r,Side_Connector_1,rear_rail_r,BaseConnection
side_hub_r,Side_Connector_2,mid_tube_r,EndConnection
side_hub_r,Side_Connector_3,front_rail_r,BaseConnection
capsule_fuselage,FloorConnector1,Battery_2,Bottom_Connector
capsule_fuselage,BottomConnector,main_hub,Top_Connector
capsule_fuselage,FloorConnector7,GPS,SensorConnector
capsule_fuselage,FloorConnector5,Autopilot,SensorConnector
capsule_fuselage,FloorConnector2,Battery_1,Bottom_Connector
capsule_fuselage,FloorConnector4,Current,SensorConnector
capsule_fuselage,FloorConnector3,RpmTemp,SensorConnector
capsule_fuselage,FloorConnector8,Variometer,SensorConnector
capsule_fuselage,FloorConnector6,Voltage,SensorConnector
front_wing_tube_l,EndConnection,front_left_wing,Wing_Tube_Connector
front_wing_tube_l,BaseConnection,front_flange_l,SideConnector
top_leg_r,BaseConnection,rear_flange_r,BottomConnector
front_railDwn_r,BaseConnection,front_hub_r,Side_Connector_2
front_railDwn_r,EndConnection,front_hubLower_r,Side_Connector_1
rear_flange_l,BottomConnector,top_leg_l,BaseConnection
rear_flange_l,SideConnector,vertical_l,EndConnection
rear_flange_l,TopConnector,rear_motor_l,Base_Connector
vertical_l,EndConnection,rear_flange_l,SideConnector
vertical_l,BaseConnection,rear_hub_l,Side_Connector_2
vertical_l,OffsetConnection1,rear_left_wing,Wing_Tube_Connector
vertical_r,BaseConnection,rear_hub_r,Side_Connector_2
vertical_r,EndConnection,rear_flange_r,SideConnector
vertical_r,OffsetConnection1,rear_right_wing,Wing_Tube_Connector
rear_hub_r,Side_Connector_2,vertical_r,BaseConnection
rear_hub_r,Center_Connector,rudder_tube_r,BaseConnection
rear_hub_r,Side_Connector_1,bottom_leg_r,BaseConnection
rear_hub_r,Side_Connector_3,rear_rail_r,EndConnection
front_left_wing,Wing_Tube_Connector,front_wing_tube_l,EndConnection
rear_rail_l,EndConnection,rear_hub_l,Side_Connector_1
rear_rail_l,BaseConnection,side_hub_l,Side_Connector_1
rear_motor_l,Base_Connector,rear_flange_l,TopConnector
rear_motor_l,Prop_Connector,rear_prop_l,MOTOR_CONNECTOR_CS_IN
rear_motor_l,MotorPower,BatteryController,MotorPower
side_hub_l,Side_Connector_1,rear_rail_l,BaseConnection
side_hub_l,Side_Connector_2,mid_tube_l,EndConnection
side_hub_l,Side_Connector_3,front_rail_l,BaseConnection
Autopilot,SensorConnector,capsule_fuselage,FloorConnector5
bottom_leg_l,BaseConnection,rear_hub_l,Side_Connector_3
main_hub,Orient_Connector,Orient,ORIENTCONN
main_hub,Side_Connector_1,mid_tube_r,BaseConnection
main_hub,Bottom_Connector,CargoCase,Case2HubConnector
main_hub,Side_Connector_3,mid_tube_l,BaseConnection
main_hub,Top_Connector,capsule_fuselage,BottomConnector
front_rail_l,EndConnection,front_hub_l,Side_Connector_1
front_rail_l,BaseConnection,side_hub_l,Side_Connector_3
front_hub_l,Side_Connector_1,front_rail_l,EndConnection
front_hub_l,Side_Connector_2,front_railDwn_l,BaseConnection
rear_prop_l,MOTOR_CONNECTOR_CS_IN,rear_motor_l,Prop_Connector
front_flange_r,TopConnector,front_motor_r,Base_Connector
front_flange_r,BottomConnector,front_railLower_r,EndConnection
front_flange_r,SideConnector,front_wing_tube_r,BaseConnection
rudder_tube_l,EndConnection,left_rudder,Wing_Tube_Connector
rudder_tube_l,BaseConnection,rear_hub_l,Center_Connector
Voltage,SensorConnector,capsule_fuselage,FloorConnector6
Cargo,CargoConnector,CargoCase,CargoConnector
