DESIGN_PARAM,DESIGN_PARAM_VAL,COMPONENT_NAME,COMPONENT_PARAM
rear_wing_span,609,rear_left_wing,SPAN
rear_wing_span,609,rear_right_wing,SPAN
Channel_5,5,front_left_wing,CONTROL_CHANNEL
Channel_8,8,rear_left_wing,CONTROL_CHANNEL
Offset_8,11,capsule_fuselage,FLOOR_CONNECTOR_6_DISP_WIDTH
FwdFacingCW_Spin,1,front_prop_r,Direction
FwdFacingCW_Spin,1,rear_prop_r,Direction
Offset_1,-20,capsule_fuselage,FLOOR_CONNECTOR_8_DISP_LENGTH
Offset_1,-20,capsule_fuselage,FLOOR_CONNECTOR_4_DISP_LENGTH
Offset_1,-20,capsule_fuselage,FLOOR_CONNECTOR_6_DISP_LENGTH
Offset_1,-20,capsule_fuselage,FLOOR_CONNECTOR_3_DISP_LENGTH
FwdFacingCW_PropType,1,rear_prop_r,Prop_type
FwdFacingCW_PropType,1,front_prop_r,Prop_type
Offset_2,50,capsule_fuselage,FLOOR_CONNECTOR_5_DISP_LENGTH
railLowerLen,90,front_railLower_l,Length
railLowerLen,90,front_railLower_r,Length
Front_Wing_Tube_Length,52,front_wing_tube_r,Length
Front_Wing_Tube_Length,52,front_wing_tube_l,Length
rudder_wing_load,20,left_rudder,LOAD
rudder_wing_load,20,right_rudder,LOAD
Channel_3,3,rear_motor_l,CONTROL_CHANNEL
Channel_7,7,rear_right_wing,CONTROL_CHANNEL
rear_l_wing_offset,448.68,rear_left_wing,TUBE_OFFSET
fuse_length,140,capsule_fuselage,FUSE_CYL_LENGTH
Rear_Rail_Length,220,rear_rail_r,Length
Rear_Rail_Length,220,rear_rail_l,Length
rear_wing_load,30,rear_left_wing,LOAD
rear_wing_load,30,rear_right_wing,LOAD
Offset_3,33,capsule_fuselage,FLOOR_CONNECTOR_3_DISP_WIDTH
front_wing_span,450,front_left_wing,SPAN
front_wing_span,450,front_right_wing,SPAN
fuse_width,300,capsule_fuselage,HORZ_DIAMETER
rudder_chord,100,left_rudder,CHORD_1
rudder_chord,100,right_rudder,CHORD_1
rudder_chord,100,right_rudder,CHORD_2
