FROM_COMP,LIB_COMPONENT
leg_3,0394OD_para_tube
motor_1,t_motor_AT2312KV1400
arm_1,0394OD_para_tube
leg_4,0394OD_para_tube
prop_3,apc_propellers_6x4E
leg_1,0394OD_para_tube
Battery_1,TurnigyGraphene1000mAh2S75C
motor_3,t_motor_AT2312KV1400
flange_2,0394_para_flange
0394od_para_hub_4,0394od_para_hub_4
capsule_fuselage,capsule_fuselage
leg_2,0394OD_para_tube
arm_2,0394OD_para_tube
Orient,Orient
BatteryController,BatteryController
motor_2,t_motor_AT2312KV1400
flange_3,0394_para_flange
prop_1,apc_propellers_6x4E
flange_4,0394_para_flange
prop_4,apc_propellers_6x4E
Battery_2,TurnigyGraphene1000mAh2S75C
prop_2,apc_propellers_6x4E
motor_4,t_motor_AT2312KV1400
flange_1,0394_para_flange
arm_3,0394OD_para_tube
arm_4,0394OD_para_tube
