FROM_COMP,FROM_CONN,TO_COMP,TO_CONN
leg_3,BaseConnection,flange_3,BottomConnector
motor_1,Prop_Connector,prop_1,MOTOR_CONNECTOR_CS_IN
motor_1,MotorPower,BatteryController,MotorPower
motor_1,Base_Connector,flange_1,TopConnector
arm_1,EndConnection,flange_1,SideConnector
arm_1,BaseConnection,0394od_para_hub_4,Side_Connector_1
leg_4,BaseConnection,flange_4,BottomConnector
prop_3,MOTOR_CONNECTOR_CS_IN,motor_3,Prop_Connector
leg_1,BaseConnection,flange_1,BottomConnector
Battery_1,Bottom_Connector,capsule_fuselage,FloorConnector1
Battery_1,PowerBus,BatteryController,BatteryPower
motor_3,Prop_Connector,prop_3,MOTOR_CONNECTOR_CS_IN
motor_3,Base_Connector,flange_3,TopConnector
motor_3,MotorPower,BatteryController,MotorPower
flange_2,SideConnector,arm_2,EndConnection
flange_2,BottomConnector,leg_2,BaseConnection
flange_2,TopConnector,motor_2,Base_Connector
0394od_para_hub_4,Side_Connector_3,arm_4,BaseConnection
0394od_para_hub_4,Top_Connector,capsule_fuselage,BottomConnector
0394od_para_hub_4,Side_Connector_4,arm_3,BaseConnection
0394od_para_hub_4,Side_Connector_1,arm_1,BaseConnection
0394od_para_hub_4,Side_Connector_2,arm_2,BaseConnection
0394od_para_hub_4,Orient_Connector,Orient,ORIENTCONN
capsule_fuselage,FloorConnector2,Battery_2,Bottom_Connector
capsule_fuselage,BottomConnector,0394od_para_hub_4,Top_Connector
capsule_fuselage,FloorConnector1,Battery_1,Bottom_Connector
leg_2,BaseConnection,flange_2,BottomConnector
arm_2,EndConnection,flange_2,SideConnector
arm_2,BaseConnection,0394od_para_hub_4,Side_Connector_2
Orient,ORIENTCONN,0394od_para_hub_4,Orient_Connector
BatteryController,MotorPower,motor_4,MotorPower
BatteryController,MotorPower,motor_2,MotorPower
BatteryController,MotorPower,motor_1,MotorPower
BatteryController,MotorPower,motor_3,MotorPower
BatteryController,BatteryPower,Battery_1,PowerBus
BatteryController,BatteryPower,Battery_2,PowerBus
motor_2,Base_Connector,flange_2,TopConnector
motor_2,Prop_Connector,prop_2,MOTOR_CONNECTOR_CS_IN
motor_2,MotorPower,BatteryController,MotorPower
flange_3,SideConnector,arm_3,EndConnection
flange_3,BottomConnector,leg_3,BaseConnection
flange_3,TopConnector,motor_3,Base_Connector
prop_1,MOTOR_CONNECTOR_CS_IN,motor_1,Prop_Connector
flange_4,TopConnector,motor_4,Base_Connector
flange_4,SideConnector,arm_4,EndConnection
flange_4,BottomConnector,leg_4,BaseConnection
prop_4,MOTOR_CONNECTOR_CS_IN,motor_4,Prop_Connector
Battery_2,PowerBus,BatteryController,BatteryPower
Battery_2,Bottom_Connector,capsule_fuselage,FloorConnector2
prop_2,MOTOR_CONNECTOR_CS_IN,motor_2,Prop_Connector
motor_4,MotorPower,BatteryController,MotorPower
motor_4,Prop_Connector,prop_4,MOTOR_CONNECTOR_CS_IN
motor_4,Base_Connector,flange_4,TopConnector
flange_1,SideConnector,arm_1,EndConnection
flange_1,BottomConnector,leg_1,BaseConnection
flange_1,TopConnector,motor_1,Base_Connector
arm_3,BaseConnection,0394od_para_hub_4,Side_Connector_4
arm_3,EndConnection,flange_3,SideConnector
arm_4,BaseConnection,0394od_para_hub_4,Side_Connector_3
arm_4,EndConnection,flange_4,SideConnector
