DESIGN_PARAM,DESIGN_PARAM_VAL,COMPONENT_NAME,COMPONENT_PARAM
fuse_floor,20,capsule_fuselage,FLOOR_HEIGHT
Front_Wing_Tube_Length,20,capsule_fuselage,FLOOR_CONNECTOR_1_DISP_WIDTH
Rear_Rail_Length,-20,capsule_fuselage,FLOOR_CONNECTOR_2_DISP_WIDTH
angle_1,45,Orient,Z_ANGLE
angle_1,45,capsule_fuselage,BOTTOM_CONNECTOR_ROTATION
Leg_Length,95,leg_4,Length
Leg_Length,95,leg_3,Length
Leg_Length,95,leg_1,Length
Leg_Length,95,leg_2,Length
Channel_3,3,motor_3,CONTROL_CHANNEL
fuse_length,80,capsule_fuselage,FUSE_CYL_LENGTH
Arm_Length,220,arm_3,Length
Arm_Length,220,arm_4,Length
Arm_Length,220,arm_2,Length
Arm_Length,220,arm_1,Length
UpFacingCCW_PropType,-1,prop_3,Prop_type
UpFacingCCW_PropType,-1,prop_1,Prop_type
Channel_4,4,motor_4,CONTROL_CHANNEL
fuse_height,68,capsule_fuselage,VERT_DIAMETER
UpFacingCCW_Spin,-1,prop_1,Direction
UpFacingCCW_Spin,-1,prop_3,Direction
Channel_2,2,motor_2,CONTROL_CHANNEL
Channel_1,1,motor_1,CONTROL_CHANNEL
fuse_width,80,capsule_fuselage,HORZ_DIAMETER
UpFacingCW_PropType,1,prop_2,Prop_type
UpFacingCW_PropType,1,prop_4,Prop_type
UpFacingCW_Spin,1,prop_4,Direction
UpFacingCW_Spin,1,prop_2,Direction
