FROM_COMP,LIB_COMPONENT
Cargo,Cargo
Battery_2,TurnigyGraphene6000mAh6S75C
Current,Current
capsule_fuselage,capsule_fuselage
motor_4,t_motor_AT4130KV300
BatteryController,BatteryController
flange_2,0394_para_flange
Autopilot,Autopilot
arm_3,0394OD_para_tube
MainCargoCase,CargoCase
prop_4,apc_propellers_17x6
0394od_para_hub_4,0394od_para_hub_4
motor_3,t_motor_AT4130KV300
arm_1,0394OD_para_tube
motor_2,t_motor_AT4130KV300
prop_3,apc_propellers_17x6
flange_4,0394_para_flange
leg_3,0394OD_para_tube
prop_1,apc_propellers_17x6
flange_1,0394_para_flange
prop_2,apc_propellers_17x6
Battery_1,TurnigyGraphene6000mAh6S75C
Variometer,Variometer
Orient,Orient
leg_1,0394OD_para_tube
leg_2,0394OD_para_tube
arm_4,0394OD_para_tube
leg_4,0394OD_para_tube
flange_3,0394_para_flange
arm_2,0394OD_para_tube
Voltage,Voltage
motor_1,t_motor_AT4130KV300
GPS,GPS
RpmTemp,RpmTemp
