FROM_COMP,FROM_CONN,TO_COMP,TO_CONN
Cargo,CargoConnector,MainCargoCase,CargoConnector
Battery_2,PowerBus,BatteryController,BatteryPower
Battery_2,Bottom_Connector,capsule_fuselage,FloorConnector2
Current,SensorConnector,capsule_fuselage,FloorConnector4
capsule_fuselage,FloorConnector4,Current,SensorConnector
capsule_fuselage,FloorConnector8,Variometer,SensorConnector
capsule_fuselage,FloorConnector3,RpmTemp,SensorConnector
capsule_fuselage,FloorConnector7,GPS,SensorConnector
capsule_fuselage,BottomConnector,0394od_para_hub_4,Top_Connector
capsule_fuselage,FloorConnector1,Battery_1,Bottom_Connector
capsule_fuselage,FloorConnector6,Voltage,SensorConnector
capsule_fuselage,FloorConnector2,Battery_2,Bottom_Connector
capsule_fuselage,FloorConnector5,Autopilot,SensorConnector
motor_4,Base_Connector,flange_4,TopConnector
motor_4,MotorPower,BatteryController,MotorPower
motor_4,Prop_Connector,prop_4,MOTOR_CONNECTOR_CS_IN
BatteryController,MotorPower,motor_4,MotorPower
BatteryController,MotorPower,motor_2,MotorPower
BatteryController,MotorPower,motor_3,MotorPower
BatteryController,MotorPower,motor_1,MotorPower
BatteryController,BatteryPower,Battery_2,PowerBus
BatteryController,BatteryPower,Battery_1,PowerBus
flange_2,TopConnector,motor_2,Base_Connector
flange_2,SideConnector,arm_2,EndConnection
flange_2,BottomConnector,leg_2,BaseConnection
Autopilot,SensorConnector,capsule_fuselage,FloorConnector5
arm_3,EndConnection,flange_3,SideConnector
arm_3,BaseConnection,0394od_para_hub_4,Side_Connector_4
MainCargoCase,Case2HubConnector,0394od_para_hub_4,Bottom_Connector
MainCargoCase,CargoConnector,Cargo,CargoConnector
prop_4,MOTOR_CONNECTOR_CS_IN,motor_4,Prop_Connector
0394od_para_hub_4,Orient_Connector,Orient,ORIENTCONN
0394od_para_hub_4,Top_Connector,capsule_fuselage,BottomConnector
0394od_para_hub_4,Side_Connector_2,arm_2,BaseConnection
0394od_para_hub_4,Side_Connector_1,arm_1,BaseConnection
0394od_para_hub_4,Bottom_Connector,MainCargoCase,Case2HubConnector
0394od_para_hub_4,Side_Connector_4,arm_3,BaseConnection
0394od_para_hub_4,Side_Connector_3,arm_4,BaseConnection
motor_3,Prop_Connector,prop_3,MOTOR_CONNECTOR_CS_IN
motor_3,Base_Connector,flange_3,TopConnector
motor_3,MotorPower,BatteryController,MotorPower
arm_1,EndConnection,flange_1,SideConnector
arm_1,BaseConnection,0394od_para_hub_4,Side_Connector_1
motor_2,Prop_Connector,prop_2,MOTOR_CONNECTOR_CS_IN
motor_2,Base_Connector,flange_2,TopConnector
motor_2,MotorPower,BatteryController,MotorPower
prop_3,MOTOR_CONNECTOR_CS_IN,motor_3,Prop_Connector
flange_4,TopConnector,motor_4,Base_Connector
flange_4,SideConnector,arm_4,EndConnection
flange_4,BottomConnector,leg_4,BaseConnection
leg_3,BaseConnection,flange_3,BottomConnector
prop_1,MOTOR_CONNECTOR_CS_IN,motor_1,Prop_Connector
flange_1,TopConnector,motor_1,Base_Connector
flange_1,SideConnector,arm_1,EndConnection
flange_1,BottomConnector,leg_1,BaseConnection
prop_2,MOTOR_CONNECTOR_CS_IN,motor_2,Prop_Connector
Battery_1,PowerBus,BatteryController,BatteryPower
Battery_1,Bottom_Connector,capsule_fuselage,FloorConnector1
Variometer,SensorConnector,capsule_fuselage,FloorConnector8
Orient,ORIENTCONN,0394od_para_hub_4,Orient_Connector
leg_1,BaseConnection,flange_1,BottomConnector
leg_2,BaseConnection,flange_2,BottomConnector
arm_4,BaseConnection,0394od_para_hub_4,Side_Connector_3
arm_4,EndConnection,flange_4,SideConnector
leg_4,BaseConnection,flange_4,BottomConnector
flange_3,BottomConnector,leg_3,BaseConnection
flange_3,TopConnector,motor_3,Base_Connector
flange_3,SideConnector,arm_3,EndConnection
arm_2,EndConnection,flange_2,SideConnector
arm_2,BaseConnection,0394od_para_hub_4,Side_Connector_2
Voltage,SensorConnector,capsule_fuselage,FloorConnector6
motor_1,Base_Connector,flange_1,TopConnector
motor_1,Prop_Connector,prop_1,MOTOR_CONNECTOR_CS_IN
motor_1,MotorPower,BatteryController,MotorPower
GPS,SensorConnector,capsule_fuselage,FloorConnector7
RpmTemp,SensorConnector,capsule_fuselage,FloorConnector3
