DESIGN_PARAM,DESIGN_PARAM_VAL,COMPONENT_NAME,COMPONENT_PARAM
Channel_2,2,motor_2,CONTROL_CHANNEL
angle_2,90,Autopilot,ROTATION
angle_2,90,Current,ROTATION
angle_2,90,Voltage,ROTATION
angle_2,90,Variometer,ROTATION
angle_2,90,RpmTemp,ROTATION
UpFacingCCW_Spin,-1,prop_1,Direction
UpFacingCCW_Spin,-1,prop_3,Direction
Offset_9,-120,capsule_fuselage,FLOOR_CONNECTOR_7_DISP_LENGTH
UpFacingCW_PropType,1,prop_4,Prop_type
UpFacingCW_PropType,1,prop_2,Prop_type
Offset_8,18,capsule_fuselage,FLOOR_CONNECTOR_6_DISP_WIDTH
Channel_3,3,motor_3,CONTROL_CHANNEL
fuse_width,190,capsule_fuselage,HORZ_DIAMETER
Offset_4,13,capsule_fuselage,FLOOR_CONNECTOR_3_DISP_WIDTH
Offset_2,-30,capsule_fuselage,FLOOR_CONNECTOR_2_DISP_WIDTH
angle_1,45,capsule_fuselage,BOTTOM_CONNECTOR_ROTATION
angle_1,45,Orient,Z_ANGLE
Arm_Length,400,arm_1,Length
Arm_Length,400,arm_3,Length
Arm_Length,400,arm_4,Length
Arm_Length,400,arm_2,Length
Offset_6,115,capsule_fuselage,FLOOR_CONNECTOR_5_DISP_LENGTH
Channel_4,4,motor_4,CONTROL_CHANNEL
CargoMass,0.5,Cargo,WEIGHT
Offset_1,30,capsule_fuselage,FLOOR_CONNECTOR_1_DISP_WIDTH
UpFacingCW_Spin,1,prop_4,Direction
UpFacingCW_Spin,1,prop_2,Direction
fuse_floor,20,capsule_fuselage,FLOOR_HEIGHT
fuse_length,270,capsule_fuselage,FUSE_CYL_LENGTH
UpFacingCCW_PropType,-1,prop_1,Prop_type
UpFacingCCW_PropType,-1,prop_3,Prop_type
fuse_height,125,capsule_fuselage,VERT_DIAMETER
Offset_3,-160,capsule_fuselage,FLOOR_CONNECTOR_3_DISP_LENGTH
Offset_3,-160,capsule_fuselage,FLOOR_CONNECTOR_4_DISP_LENGTH
Offset_7,155,capsule_fuselage,FLOOR_CONNECTOR_8_DISP_LENGTH
Offset_7,155,capsule_fuselage,FLOOR_CONNECTOR_6_DISP_LENGTH
Offset_5,-18,capsule_fuselage,FLOOR_CONNECTOR_8_DISP_WIDTH
Offset_5,-18,capsule_fuselage,FLOOR_CONNECTOR_4_DISP_WIDTH
Channel_1,1,motor_1,CONTROL_CHANNEL
Leg_Length,170,leg_2,Length
Leg_Length,170,leg_1,Length
Leg_Length,170,leg_4,Length
Leg_Length,170,leg_3,Length
